"record_id","admission_date_raw","indexed_end_date_raw","admission_date","indexed_end_date","elapsed_days","geography","population_boundary","elapsed_unit"
"smdswhr_979_98005","18050308","18050309","1805-03-08","1805-03-09","1","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_979_98006","18050308","18050309","1805-03-08","1805-03-09","1","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_919_91986","18050314","18050421","1805-03-14","1805-04-21","38","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_893_89346","18050315","18050411","1805-03-15","1805-04-11","27","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_979_98007","18050316","18050320","1805-03-16","1805-03-20","4","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_979_98008","18050318","18050522","1805-03-18","1805-05-22","65","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_979_98009","18050318","18050519","1805-03-18","1805-05-19","62","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_946_94653","18050319","18050411","1805-03-19","1805-04-11","23","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_946_94654","18050319","18050411","1805-03-19","1805-04-11","23","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_893_89351","18050321","18050914","1805-03-21","1805-09-14","177","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_939_94009","18050321","18050924","1805-03-21","1805-09-24","187","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_862_86257","18050322","18050526","1805-03-22","1805-05-26","65","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_954_95440","18050323","18050830","1805-03-23","1805-08-30","160","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_971_97147","18050323","18050323","1805-03-23","1805-03-23","0","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_971_97148","18050323","18080420","1805-03-23","1808-04-20","1124","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_946_94655","18050324","18050427","1805-03-24","1805-04-27","34","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_935_93589","18050325","18050325","1805-03-25","1805-03-25","0","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_862_86258","18050328","18050416","1805-03-28","1805-04-16","19","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_862_86259","18050328","18050710","1805-03-28","1805-07-10","104","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_862_86260","18050328","18060509","1805-03-28","1806-05-09","407","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_887_88788","18050328","18050408","1805-03-28","1805-04-08","11","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_935_93590","18050328","18050831","1805-03-28","1805-08-31","156","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_979_98010","18050328","18050422","1805-03-28","1805-04-22","25","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_980_98011","18050328","18071011","1805-03-28","1807-10-11","927","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_884_88435","18050330","18050521","1805-03-30","1805-05-21","52","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_967_96720","18050401","18050703","1805-04-01","1805-07-03","93","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_967_96721","18050401","18050415","1805-04-01","1805-04-15","14","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_884_88436","18050403","18050513","1805-04-03","1805-05-13","40","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_862_86261","18050404","18050409","1805-04-04","1805-04-09","5","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
"smdswhr_876_87647","18050405","18070703","1805-04-05","1807-07-03","819","St Martin in the Fields, Westminster, London, England","individual workhouse admission episode","calendar-days"
