year,arableOutputCurrentPrices,arableOutputCurrentPrices_state,livestockOutputCurrentPrices,livestockOutputCurrentPrices_state,horticultureOutputCurrentPrices,horticultureOutputCurrentPrices_state,totalOutputCurrentPrices,totalOutputCurrentPrices_state,cattleFodderInputsCurrentPrices,cattleFodderInputsCurrentPrices_state,seedInputsCurrentPrices,seedInputsCurrentPrices_state,otherInputsCurrentPrices,otherInputsCurrentPrices_state,totalInputsCurrentPrices,totalInputsCurrentPrices_state,totalValueAddedCurrentPrices,totalValueAddedCurrentPrices_state,arableOutputShare,arableOutputShare_state,livestockOutputShare,livestockOutputShare_state,horticultureOutputShare,horticultureOutputShare_state,cattleFodderInputsShareOfOutput,cattleFodderInputsShareOfOutput_state,seedInputsShareOfOutput,seedInputsShareOfOutput_state,otherInputsShareOfOutput,otherInputsShareOfOutput_state,totalInputsShareOfOutput,totalInputsShareOfOutput_state
1800,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1801,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1802,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1803,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1804,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1805,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1806,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1845,94.89175994989755,,78.06704783897555,,4.021624507892456,,176.98043229676557,,13.72091108157728,,13.38298269507792,,17.257184437203275,,44.36107821385848,,132.6193540829071,,0.5361709128994582,,0.4411055325487657,,0.022723554551776028,,0.07752784250503855,,0.07561843149211532,,0.09750899697355221,,0.25065527097070606,
1846,120.78446301780762,,84.63442426630073,,4.759924107017258,,210.1788113911256,,13.196914329800055,,16.39092251507335,,19.629426122248226,,49.217262967121634,,160.96154842400398,,0.5746747839059647,,0.4026781943723289,,0.022647021721706417,,0.06278898544745158,,0.07798560857103326,,0.09339393439483996,,0.2341685284133248,
1847,186.31704450868057,,88.99781862157627,,6.378452609297484,,281.69331573955435,,24.317152679557616,,20.809582514468918,,26.617807494975164,,71.74454268900169,,209.94877305055266,,0.6614180532453388,,0.31593869520092244,,0.02264325155373875,,0.0863249190550214,,0.07387318531089629,,0.0944921515978932,,0.25469025596381084,
1848,100.40323827168261,,79.80322387582156,,4.188055631606617,,184.3945177791108,,12.62054295308941,,11.702754880594588,,17.321051292076657,,41.644349125760655,,142.75016865335016,,0.5445022958435092,,0.4327852304775088,,0.022712473678981916,,0.06844315712361777,,0.06346585040350011,,0.0939347411229754,,0.22584374865009327,
1849,92.80517225435811,,78.83786097573686,,3.9919632581283784,,175.63499648822335,,13.565800220644574,,9.792987926734536,,16.522262601859314,,39.881050749238426,,135.75394573898492,,0.5283979509207942,,0.448873302884275,,0.02272874619493073,,0.07723859419756464,,0.05575761165224935,,0.09407158557359133,,0.22706779142340533,
1850,92.03458830001817,,83.63564840087496,,4.101075739637856,,179.77131244053098,,13.518727243920322,,10,,16.70296910274319,,40.221696346663514,,139.54961609386746,,0.5119536985661356,,0.46523356405122723,,0.022812737382637217,,0.0751995802911678,,0.05562622792392439,,0.09291231663154595,,0.22373812484663816,
1851,102.86519375171743,,91.96123790147126,,4.6730738271393015,,199.499505480328,,19.03603706311889,,10.06031091357692,,18.065433354146506,,47.16178133084232,,152.3377241494857,,0.5156162843815201,,0.4609597285971181,,0.023423987021361805,,0.09541896867005503,,0.05042774862702071,,0.09055377511162743,,0.23640049240870317,
1852,103.49846999891025,,96.77760682168388,,5.8823467257269675,,206.1584235463211,,16.364184098787717,,11.643206461296073,,19.556229963884906,,47.563620523968694,,158.5948030223524,,0.5020336701190165,,0.4694331919934342,,0.028533137887549288,,0.07937674249391463,,0.056476986295347746,,0.09486020327222223,,0.2307139320614846,
1853,111.65662421071974,,110.32339742036652,,6.3468541986936415,,228.3268758297799,,18.891384819214355,,13.449887868516209,,20.599269178378538,,52.9405418661091,,175.3863339636708,,0.4890209433512371,,0.48318182876821636,,0.027797227880546522,,0.08273833183483,,0.05890628433309464,,0.09021832889149463,,0.23186294505941926,
1854,167.77133967582844,,117.92261669367772,,7.293745345669403,,292.98770171517555,,29.30100910645827,,18.377762033574815,,25.932130610386608,,73.6109017504197,,219.37679996475586,,0.5726224639931314,,0.4024831622738717,,0.02489437373299692,,0.10000764173693165,,0.0627253701298375,,0.08850928028233832,,0.2512422921491075,
