year,miningValueAddedCurrentPrices,ceramicsAndGlassValueAddedCurrentPrices,ceramicsAndGlassValueAddedCurrentPrices_state,diamondCuttingValueAddedCurrentPrices,diamondCuttingValueAddedCurrentPrices_state,paperValueAddedCurrentPrices,printingValueAddedCurrentPrices,printingValueAddedCurrentPrices_state,woodworkingValueAddedCurrentPrices,woodworkingValueAddedCurrentPrices_state,foodstuffsValueAddedCurrentPrices,textilesValueAddedCurrentPrices,clothingValueAddedCurrentPrices,leatherValueAddedCurrentPrices,chemicalsValueAddedCurrentPrices,metalsAndEngineeringValueAddedCurrentPrices,shipbuildingValueAddedCurrentPrices,utilitiesValueAddedCurrentPrices,constructionValueAddedCurrentPrices,industryTotalValueAddedCurrentPrices
1857,6.808074394949262,5.560138823430587,,1.7617024331387219,,0.9282486832608671,0.7144437648851266,,1.713070815782598,,63.93984111636161,18.19182920725487,21.848640413504764,7.120986603243704,3.4763987066587023,10.527511990873258,21.095969999999998,2.5052093494719716,18.1692,184.36126630281603
1858,6.360949835314427,5.631069457016507,,1.8260744950654004,,0.8601230054563398,0.7299574009226321,,1.8473689628996492,,65.06707086607977,14.75122838441452,19.05184860358197,8.242273835689952,2.994766354432116,9.476424951251913,11.251409999999998,2.63423375685694,19.157999999999998,169.88279990898212
1859,6.362887762862774,5.731393302478697,,1.8953902445665889,,0.8387970075997916,0.632300700332937,,1.42879812413612,,40.741391467888135,17.38993166602085,20.098106388169565,7.6841406679698965,3.2714052726895644,7.108140945034386,15.54315,2.9567701574945784,19.281599999999997,150.96420370724388
1860,5.747824680332274,5.762623142714058,,2.0691783029151516,,0.8571553630443157,0.64138581472354,,1.878136648029697,,55.6149359516091,19.168641983326157,21.4522610704093,7.1131975200568816,2.8598273632713394,6.441059092731005,17.37036,3.3178149223360123,20.2704,170.56480185549884
1861,6.551228509458266,5.887223800811082,,2.2037927714705328,,0.8986769934411046,0.7453276029363552,,1.900035482721585,,48.51927865784265,23.43014992380981,25.534872752120624,6.604215363415549,2.8518945940891602,8.803062909196447,16.217760000000002,3.6204067158749833,22.124399999999998,175.89232607718816
1862,6.947455115945644,6.013187073134598,,2.5290126020187076,,0.9924141632251808,0.7628782697452589,,3.406386621562551,,55.1756648848602,24.045267190722242,24.95787311910961,7.154634521389966,2.700894234981641,9.239078322710869,13.709159999999999,3.724565582526882,22.124399999999998,183.48287170193333
1863,6.676195485850043,5.756742489100396,,2.7655015403901957,,1.0912795810685818,0.951705115263058,,2.766286663183926,,51.86701378469088,35.58960608655758,37.16926646524698,7.199254721054059,2.7075068228409074,13.047368646965404,13.668479999999999,3.8314475585569427,22.6188,207.70645496076895
1864,5.531297523694826,6.269251011127915,,3.0344990907598883,,1.3238904649617778,0.9236562280194878,,2.548086563751253,,51.201568116077695,35.635774590881496,41.55845093766901,7.5147802408712305,2.6815679184445402,12.67444544310252,10.69545,3.867729042179123,23.731199999999998,209.19164717154075
1865,5.433088495352638,6.399376709380976,,3.040032131742744,,1.3260824308306416,0.971197357402844,,1.8255029216924032,,56.97387512482003,40.24299135162421,41.09647866369173,7.744976583482875,3.0919102496210136,5.7763843131818176,9.72591,3.960937282645676,24.2256,211.8343436154696
1866,5.3557051770173265,5.7145507025674105,,3.1647703158046783,,1.2681289607474302,0.8772366295421516,,1.368326216678809,,63.0330408867451,38.54810520707193,37.51048503508792,7.310458213476814,3.7613673396307403,5.527072013618093,6.30201,4.251533986097445,23.2368,207.22959068408585
1867,5.582627096361576,5.83089406036451,,3.431729613813534,,1.4302364245965076,1.8647957618140254,,1.2250344104582567,,55.83776834979666,33.878956568825025,34.02761061246135,6.880001553646945,3.6459248537295856,6.75168491986911,19.51623,4.4033863548056145,23.3604,207.6672805805427
1868,5.039952221490086,5.6042630569303205,,3.6542913601367855,,1.5253954763122672,1.920335786196041,,1.1292304695257127,,60.65497032676794,30.52216720296463,33.846825925189265,6.64672117094838,4.132834140189095,6.581465717242904,4.88838,4.549666437973047,24.72,195.41649929186647
1869,5.0924445065486905,6.12402526904813,,3.813094885785454,,1.5163500387861408,1.6829324724819255,,1.5474527322766858,,58.029866662706134,33.85772628588531,33.15767784192276,6.8990522306028925,4.142059671025245,5.628475184568108,12.43452,4.567660142570664,27.068399999999997,205.56173792420813
1870,5.180293679996932,6.893098294601147,,4.023620625830332,,1.3785462114884235,2.821899754344677,,1.5344313606504285,,78.00280314703691,29.177707617417358,29.89889828353209,7.560829645074232,3.097290644211571,8.519046858437662,13.380329999999999,4.679973358883211,26.9448,223.09356948150497
1871,5.242733746186374,7.2387986046062,,4.3338138193429385,,1.3977680363811429,4.054186517760352,,1.5305305160171552,,72.5137224637796,35.08448326560905,36.89924961966163,8.807928509619632,2.7503585034338265,6.104438873845109,11.454809999999998,4.854582572501201,30.0348,232.3022050487442
1872,5.276101865114645,6.719417592096134,,4.896246599500469,,1.4235866962599526,4.112495786089507,,3.177620534279964,,77.50769857831041,59.930013242248684,58.56121935072787,9.460744556784327,3.1492219201065033,9.343947503691924,13.356600000000002,4.903368161581474,32.2596,294.0778823867919
1873,5.288105716658788,8.649886758782918,,5.346012870752502,,1.6165821883957097,5.544218738813583,,6.142156807065988,,90.0866546790058,71.45179349055546,69.37828843584624,10.045796901630563,3.83848120920929,26.11555478702609,12.620969999999998,5.061012505697081,28.304399999999998,349.48991508944
1874,5.071752308211632,9.672312553559504,,5.950463976278351,,1.7723165390796125,5.293199114977104,,9.384466342107356,,75.82666260741541,56.27091353183107,62.04186126003378,10.333868029639127,4.363015631349851,27.7999362372779,27.136950000000002,5.215716359741098,28.304399999999998,334.4378344915018
1875,5.040216621685226,11.025074617629782,,6.6595512701566335,,1.655420701967888,5.577846162588072,,6.881980275374008,,74.81383023749012,61.96967095737756,62.6216475701077,11.948088813327148,4.312991657142298,21.034948848073668,9.24792,5.637166499947531,36.8328,325.2591542328676
